Split Cost,Storage Use
0,0.025
0,0.05
0,0.075
0,0.1
0,0.125
0,0.15
0,0.175
0,0.2
0,0.225
0,0.25
0,0.275
0,0.3
0,0.325
0,0.35
0,0.375
0,0.4
0,0.425
0,0.45
0,0.475
0,0.5
0,0.525
0,0.55
0,0.575
0,0.6
0,0.625
0,0.65
0,0.675
0,0.7
0,0.725
0,0.75
0,0.775
0,0.8
0,0.825
0,0.85
0,0.875
0,0.9
0,0.925
0,0.95
0,0.975
0,1.0
2,0.5125
0,0.525
0,0.5375
0,0.55
0,0.5625
0,0.575
0,0.5875
0,0.6
0,0.6125
0,0.625
0,0.6375
0,0.65
0,0.6625
0,0.675
0,0.6875
0,0.7
0,0.7125
0,0.725
0,0.7375
0,0.75
0,0.7625
0,0.775
0,0.7875
0,0.8
0,0.8125
0,0.825
2,0.5583333333333333
0,0.5666666666666667
0,0.575
0,0.5833333333333334
0,0.5916666666666667
0,0.6
0,0.6083333333333333
0,0.6166666666666667
0,0.625
0,0.6333333333333333
0,0.6416666666666667
0,0.65
0,0.6583333333333333
0,0.6666666666666666
0,0.675
0,0.6833333333333333
0,0.6916666666666667
0,0.7
0,0.7083333333333334
0,0.7166666666666667
0,0.725
0,0.7333333333333333
0,0.7416666666666667
2,0.5625
0,0.56875
0,0.575
0,0.58125
0,0.5875
0,0.59375
0,0.6
0,0.60625
0,0.6125
0,0.61875
2,0.5
0,0.505
0,0.51
0,0.515
0,0.52
0,0.525
0,0.53
0,0.535
0,0.54
0,0.545
0,0.55
0,0.555
0,0.56
0,0.565
0,0.57
0,0.575
0,0.58
0,0.585
0,0.59
0,0.595
0,0.6
0,0.605
0,0.61
0,0.615
0,0.62
0,0.625
0,0.63
0,0.635
0,0.64
0,0.645
0,0.65
0,0.655
0,0.66
2,0.5541666666666667
0,0.5583333333333333
0,0.5625
0,0.5666666666666667
0,0.5708333333333333
2,0.4928571428571429
0,0.49642857142857144
0,0.5
0,0.5035714285714286
0,0.5071428571428571
0,0.5107142857142857
0,0.5142857142857142
0,0.5178571428571429
0,0.5214285714285715
0,0.525
0,0.5285714285714286
0,0.5321428571428571
0,0.5357142857142857
0,0.5392857142857143
0,0.5428571428571428
0,0.5464285714285714
0,0.55
0,0.5535714285714286
0,0.5571428571428572
0,0.5607142857142857
0,0.5642857142857143
0,0.5678571428571428
0,0.5714285714285714
0,0.575
0,0.5785714285714286
0,0.5821428571428572
0,0.5857142857142857
0,0.5892857142857143
0,0.5928571428571429
0,0.5964285714285714
0,0.6
0,0.6035714285714285
0,0.6071428571428571
0,0.6107142857142858
0,0.6142857142857143
0,0.6178571428571429
0,0.6214285714285714
0,0.625
0,0.6285714285714286
0,0.6321428571428571
0,0.6357142857142857
0,0.6392857142857142
0,0.6428571428571429
0,0.6464285714285715
0,0.65
0,0.6535714285714286
0,0.6571428571428571
0,0.6607142857142857
0,0.6642857142857143
0,0.6678571428571428
0,0.6714285714285714
0,0.675
0,0.6785714285714286
0,0.6821428571428572
0,0.6857142857142857
0,0.6892857142857143
0,0.6928571428571428
0,0.6964285714285714
0,0.7
0,0.7035714285714286
0,0.7071428571428572
0,0.7107142857142857
0,0.7142857142857143
0,0.7178571428571429
0,0.7214285714285714
0,0.725
0,0.7285714285714285
0,0.7321428571428571
0,0.7357142857142858
2,0.646875
0,0.65
0,0.653125
0,0.65625
0,0.659375
0,0.6625
0,0.665625
0,0.66875
0,0.671875
0,0.675
0,0.678125
0,0.68125
0,0.684375
0,0.6875
0,0.690625
0,0.69375
0,0.696875
0,0.7
0,0.703125
0,0.70625
0,0.709375
0,0.7125
0,0.715625
2,0.6388888888888888
0,0.6416666666666667
0,0.6444444444444445
0,0.6472222222222223
0,0.65
0,0.6527777777777778
0,0.6555555555555556
0,0.6583333333333333
0,0.6611111111111111
0,0.6638888888888889
0,0.6666666666666666
0,0.6694444444444444
0,0.6722222222222223
0,0.675
0,0.6777777777777778
0,0.6805555555555556
0,0.6833333333333333
0,0.6861111111111111
0,0.6888888888888889
0,0.6916666666666667
0,0.6944444444444444
0,0.6972222222222222
0,0.7
2,0.6325
0,0.635
0,0.6375
0,0.64
0,0.6425
2,0.5863636363636363
0,0.5886363636363636
0,0.5909090909090909
2,0.54375
0,0.5458333333333333
0,0.5479166666666667
0,0.55
0,0.5520833333333334
0,0.5541666666666667
0,0.55625
0,0.5583333333333333
0,0.5604166666666667
0,0.5625
0,0.5645833333333333
0,0.5666666666666667
0,0.56875
0,0.5708333333333333
0,0.5729166666666666
0,0.575
2,0.5326923076923077
0,0.5346153846153846
0,0.5365384615384615
0,0.5384615384615384
0,0.5403846153846154
0,0.5423076923076923
0,0.5442307692307692
0,0.5461538461538461
0,0.5480769230769231
0,0.55
0,0.551923076923077
0,0.5538461538461539
0,0.5557692307692308
0,0.5576923076923077
0,0.5596153846153846
0,0.5615384615384615
0,0.5634615384615385
0,0.5653846153846154
0,0.5673076923076923
0,0.5692307692307692
0,0.5711538461538461
0,0.573076923076923
0,0.575
0,0.5769230769230769
0,0.5788461538461539
0,0.5807692307692308
0,0.5826923076923077
0,0.5846153846153846
0,0.5865384615384616
0,0.5884615384615385
0,0.5903846153846154
0,0.5923076923076923
0,0.5942307692307692
0,0.5961538461538461
0,0.5980769230769231
0,0.6
0,0.6019230769230769
0,0.6038461538461538
0,0.6057692307692307
0,0.6076923076923076
0,0.6096153846153847
0,0.6115384615384616
0,0.6134615384615385
0,0.6153846153846154
0,0.6173076923076923
0,0.6192307692307693
0,0.6211538461538462
0,0.6230769230769231
0,0.625
0,0.6269230769230769
0,0.6288461538461538
0,0.6307692307692307
0,0.6326923076923077
0,0.6346153846153846
0,0.6365384615384615
0,0.6384615384615384
0,0.6403846153846153
0,0.6423076923076924
0,0.6442307692307693
0,0.6461538461538462
0,0.6480769230769231
0,0.65
0,0.6519230769230769
0,0.6538461538461539
0,0.6557692307692308
0,0.6576923076923077
0,0.6596153846153846
0,0.6615384615384615
0,0.6634615384615384
0,0.6653846153846154
0,0.6673076923076923
0,0.6692307692307692
0,0.6711538461538461
0,0.6730769230769231
0,0.675
0,0.676923076923077
0,0.6788461538461539
0,0.6807692307692308
0,0.6826923076923077
0,0.6846153846153846
0,0.6865384615384615
0,0.6884615384615385
0,0.6903846153846154
0,0.6923076923076923
0,0.6942307692307692
0,0.6961538461538461
0,0.698076923076923
0,0.7
0,0.7019230769230769
0,0.7038461538461539
0,0.7057692307692308
0,0.7076923076923077
0,0.7096153846153846
0,0.7115384615384616
0,0.7134615384615385
0,0.7153846153846154
0,0.7173076923076923
0,0.7192307692307692
0,0.7211538461538461
0,0.7230769230769231
0,0.725
